,jdb,deci,ut,downtime,seeing
0,61041.5,2026.0,2026-01-01,32.3422989801016,1.04
1,61072.5,2026.0849315068488,2026-02-01,31.152090552195943,1.13
2,61100.5,2026.1616438356164,2026-03-01,30.52057931871426,1.0
3,61131.5,2026.2465753424656,2026-04-01,27.174509611590032,0.87
4,61161.5,2026.328767123288,2026-05-01,14.56718760336424,0.83
5,61192.5,2026.4136986301369,2026-06-01,4.354881757026495,0.83
6,61222.5,2026.495890410959,2026-07-01,3.0049021732435897,0.84
7,61253.5,2026.580821917808,2026-08-01,8.121867707475548,0.72
8,61284.5,2026.6657534246576,2026-09-01,19.14708116529838,0.72
9,61314.5,2026.7479452054797,2026-10-01,29.693072401152445,0.79
10,61345.5,2026.8328767123287,2026-11-01,36.64653939417445,0.87
11,61375.5,2026.9150684931508,2026-12-01,37.771507173049706,1.13
12,61406.5,2027.0,2027-01-01,32.3422989801016,1.04
